Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
mfirstestsuite,Chrome 103.0.5060.114,,,2022-07-06 15:35:59,2022-07-06 15:36:46,46.333s,PASSED
,,,,,,,
Test Cases/mytestcase,Chrome 103.0.5060.114,,,2022-07-06 15:36:00,2022-07-06 15:36:46,45.990s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-06 15:36:00,2022-07-06 15:36:03,2.824s,PASSED
"navigateToUrl(""https://demo-store.katalon.com/"")",Chrome 103.0.5060.114,,,2022-07-06 15:36:03,2022-07-06 15:36:05,1.616s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/label_Ascending""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:05,2022-07-06 15:36:05,0.513s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/div_Men_checkbox_design__sArRO""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:05,2022-07-06 15:36:06,0.574s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/div_Men_checkbox_design__sArRO""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:06,2022-07-06 15:36:06,0.625s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/div_Men_checkbox_design__sArRO""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:06,2022-07-06 15:36:07,0.636s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/label_Greater Than 89""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:07,2022-07-06 15:36:08,0.599s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/span_Clear All""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:08,2022-07-06 15:36:08,0.511s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/img_Clear All_card-img-top""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:08,2022-07-06 15:36:09,0.636s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/a_Women""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:09,2022-07-06 15:36:09,0.638s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/a_Blazer""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:09,2022-07-06 15:36:10,0.539s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/label_49 - 89""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:10,2022-07-06 15:36:10,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/div_All Products""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:10,2022-07-06 15:36:11,0.529s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/img_25.99 CAD_card-img-top""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:11,2022-07-06 15:36:12,0.547s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/div_All Products_search_icon__1puna""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:12,2022-07-06 15:36:12,0.594s,PASSED
"setText(findTestObject(""Object Repository/Page_Zack Market/input_All Products_auto_input__2ud9e""), ""pant"")",Chrome 103.0.5060.114,,,2022-07-06 15:36:12,2022-07-06 15:36:13,0.725s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Zack Market/input_All Products_auto_input__2ud9e""), Keys.chord(ENTER))",Chrome 103.0.5060.114,,,2022-07-06 15:36:13,2022-07-06 15:36:45,32.203s,PASSED
"click(findTestObject(""Object Repository/Page_Zack Market/img_25.99 CAD_card-img-top""))",Chrome 103.0.5060.114,,,2022-07-06 15:36:45,2022-07-06 15:36:46,0.684s,PASSED
